Black Monk,,,
Lacerta,Kostaryka,"6,3",
rebel.pl,Wyścig Tytanów,"6,3",https://www.youtube.com/watch?v=01fKQPGujKc
rebel.pl,Dzieła mistrzów,"6,3",https://www.youtube.com/watch?v=EYrciAo7E5E
Games Factory,No co tam,6,https://www.youtube.com/watch?v=BWQauqOglGQ
rebel.pl,Cortex Wyzwania,"5,9",https://www.youtube.com/watch?v=PNfI5GlQ8VA
rebel.pl,Eksplodujące Kotki,"5,9",http://pl.blastingnews.com/rozrywka/2015/01/exploding-kittens-hit-z-kickstartera-podbija-swiat-00254393.html
Lacerta,Król Ozo,"5,8",
Aleksander,E-Motionz,,
Aleksander,Gdybyś Był ,,
Aleksander,Gdybyś Był Junior,,
Aleksander,Mam Cię!,,
Aleksander,Gorący Ziemniak,,
Aleksander,Gorący Ziemniak Pytania Graczy,,
Aleksander,Gorący Ziemniak Junior,,
Aleksander,Czego brakuje?,,
Aleksander,Czego brakuje? dla najmłodszych,,
Aleksander,Scriba (Scrabble),,
Aleksander,Mistrz słowa,,
Aleksander,Złoty Pociąg,,
Aleksander,Supermatematyk,,
Aleksander,Nie śmiej się,,
Aleksander,Nie śmiej się Junior,,
Aleksander,Gnaj do celu w PRLu,,
Lacerta,Brains Mapa Skarbów,,
Tacctic-wt,,,
