rebel.pl,Yamatai,5,https://www.youtube.com/watch?v=Fkhr552Rv1M
Games Factory,Roll for the galaxy,37,https://www.youtube.com/watch?v=_ZxpJR-fwUc
Games Factory,Star realms,32,https://www.youtube.com/watch?v=EteiFLBzBhg
rebel.pl,Small World: Podziemia,33,https://www.youtube.com/watch?v=VHZbxgliQ_8
Games Factory,Tawerna Hex,21,https://www.youtube.com/watch?v=9VlVejnAZ8Y
rebel.pl,Zamki Burgundii,3,https://www.youtube.com/watch?v=BIaYlsvlqZw
Lacerta,Brains Mapa Skarbów,93,http://www.lacerta.pl/index.php/repozytorium-plikow/finish/40-brains-lamiglowki/73-brains-mapa-skarbow-instrukcja
Lacerta,Flick'em up!,77,https://www.youtube.com/watch?v=G8mwYna7UyM
Aleksander,Gdybyś Był Junior,74,https://www.youtube.com/watch?v=Zay4z8Od-Fs
Lacerta,Kawerna: Jaskinia kontra jaskinia,62,https://www.youtube.com/watch?v=lD_rh-kATG8
Lacerta,Kostaryka,60,https://www.youtube.com/watch?v=UBVyHQWSEyM
Lacerta,Król Ozo,58,http://www.lacerta.pl/index.php/repozytorium-plikow/finish/50-krol-ozo/94-krol-ozo-instrukcja
Lacerta,Owocowe opowieści,45,https://www.youtube.com/watch?v=gK0R_CxA6Bk
Lacerta,Park Niedźwiedzi,44,https://www.youtube.com/watch?v=i2jqTJfXyAA
rebel.pl,Strażniczki,31,https://www.youtube.com/watch?v=x95MhDvIUOU
Lacerta,Patchwork,43,https://www.youtube.com/watch?v=Zkgw1slVCek
Lacerta,Wyspa skye,7,https://www.youtube.com/watch?v=lD_rh-kATG8
rebel.pl,10 Minut,99,https://www.youtube.com/watch?v=6TvO9whbDfM
rebel.pl,7 Cudów Świata,98,https://www.youtube.com/watch?time_continue=1&v=9QvxYEmfNbY
rebel.pl,7 Samurajów,97,https://www.youtube.com/watch?v=Oxh8-VX5UC8
rebel.pl,Bąbelsy,95,https://www.youtube.com/watch?v=-XvC7fh2WlM
rebel.pl,Cortex Wyzwania,92,https://www.youtube.com/watch?v=PNfI5GlQ8VA
rebel.pl,Takenoko,22,https://www.youtube.com/watch?v=N5fp3-rMBOE
rebel.pl,Dixit,88,https://www.youtube.com/watch?v=Hj8-y5dwzwA
rebel.pl,Dobble,87,https://www.youtube.com/watch?v=BGTlQQ_EJg8
rebel.pl,Domek,85,https://www.youtube.com/watch?v=H8W7DRkD7lE
rebel.pl,Dzieła mistrzów,83,https://www.youtube.com/watch?v=EYrciAo7E5E
rebel.pl,Eksplodujące Kotki,81,http://pl.blastingnews.com/rozrywka/2015/01/exploding-kittens-hit-z-kickstartera-podbija-swiat-00254393.html
rebel.pl,Nie do Pary,49,https://www.youtube.com/watch?v=OLMQqIr3jjU
rebel.pl,Elizjum,80,https://www.youtube.com/watch?v=5NZd724NFH8
rebel.pl,Fauna,79,https://www.youtube.com/watch?v=8TaOb7zZxjg&index=3
Aleksander,Gnaj do celu w PRLu,72,http://www.alexander.com.pl/manuals/1393_1.pdf
rebel.pl,Ghost Stories,73,https://www.youtube.com/watch?v=s1tvOfg4tl4
rebel.pl,Zombiaki Ameryki,1,https://www.youtube.com/watch?v=48y6ZhKwOsM
TACTIC,ALIAS: Rodzinny,96,http://www.tactic.net/site/rules/PL/53191.pdf
TACTIC,Block Out!,94,https://www.youtube.com/watch?v=D4x4xDhVRdE&t=12s
TACTIC,iKNOW,66,https://www.youtube.com/watch?v=e6BqPgVS7_k
TACTIC,Szybkie slówka,27,https://www.youtube.com/watch?v=U9xR6p2DtmM
TACTIC,Założysz się?,4,https://www.youtube.com/watch?v=uE1gjjUQHVA
x,Monopoly,51,https://www.youtube.com/watch?v=Pn_J5zpJ5Wk
